gate_count,wire_count,and_count,or_count,not_count,input_count,output_count,complexity_flag,score
6,10,2,1,3,2,1,1,81
4,7,1,1,2,4,1,1,40
3,6,0,2,1,3,1,1,71
4,7,2,0,2,3,1,1,73
6,11,2,2,2,3,1,1,93
5,10,1,3,1,4,1,1,89
2,5,0,2,0,2,1,1,78
3,6,1,1,1,2,1,1,70
2,4,1,0,1,3,1,1,40
4,8,1,2,1,2,1,1,89
3,7,2,1,0,4,1,1,97
5,9,0,3,2,4,1,1,95
4,8,2,1,1,3,1,1,79
2,5,1,1,0,4,1,1,40
5,10,3,1,1,4,1,1,79
6,11,2,2,2,4,1,1,97
4,9,1,3,0,3,1,1,81
5,10,3,1,1,4,1,1,91
3,7,2,1,0,2,1,1,86
3,5,0,1,2,2,1,1,70
6,11,3,1,2,4,1,1,100
4,7,2,0,2,4,1,1,40
2,5,2,0,0,3,1,1,89
6,11,3,1,2,2,1,1,88
2,5,1,1,0,4,1,1,40
3,7,2,1,0,3,1,1,97
3,6,1,1,1,3,1,1,72
4,8,2,1,1,2,1,1,88
5,10,0,4,1,4,1,1,90
4,9,3,1,0,2,1,1,85
3,6,1,1,1,2,1,1,86
3,5,0,1,2,3,1,1,40
3,5,1,0,2,3,1,1,40
5,10,4,0,1,4,1,1,75
4,8,2,1,1,3,1,1,93
5,10,3,1,1,2,1,1,80
2,4,1,0,1,2,1,1,96
6,11,3,1,2,3,1,1,71
6,10,1,2,3,4,1,1,95
2,5,0,2,0,3,1,1,75
5,9,2,1,2,4,1,1,79
3,6,1,1,1,4,1,1,40
5,7,1,0,4,4,1,1,40
4,9,2,2,0,2,1,1,79
4,8,2,1,1,2,1,1,73
6,10,1,2,3,2,1,1,71
6,12,2,3,1,4,1,1,85
2,4,1,0,1,3,1,1,40
6,10,3,0,3,4,1,1,87
4,8,2,1,1,4,1,1,80
3,4,0,0,3,4,1,1,40
3,7,1,2,0,2,1,1,75
3,7,1,2,0,2,1,1,82
2,4,0,1,1,4,1,1,40
5,8,0,2,3,3,1,1,78
6,12,1,4,1,2,1,1,88
4,8,2,1,1,3,1,1,100
3,7,2,1,0,3,1,1,77
3,6,0,2,1,4,1,1,40
3,7,1,2,0,4,1,1,80
6,13,1,5,0,2,1,1,83
6,10,0,3,3,4,1,1,95
3,7,2,1,0,3,1,1,98
4,6,1,0,3,3,1,1,40
6,11,2,2,2,4,1,1,82
6,10,0,3,3,4,1,1,99
3,5,0,1,2,4,1,1,40
5,10,1,3,1,3,1,1,76
2,4,1,0,1,2,1,1,78
6,12,5,0,1,3,1,1,100
4,8,2,1,1,4,1,1,86
3,6,2,0,1,3,1,1,92
5,9,2,1,2,2,1,1,76
5,9,3,0,2,4,1,1,80
4,9,0,4,0,3,1,1,83
6,11,3,1,2,2,1,1,86
5,10,2,2,1,2,1,1,72
6,11,1,3,2,2,1,1,80
2,5,1,1,0,4,1,1,40
6,12,3,2,1,4,1,1,78
4,8,0,3,1,4,1,1,88
4,7,1,1,2,4,1,1,40
4,8,0,3,1,3,1,1,74
2,3,0,0,2,4,1,1,40
4,7,1,1,2,3,1,1,85
2,4,0,1,1,2,1,1,97
5,9,2,1,2,3,1,1,84
4,8,1,2,1,3,1,1,100
2,5,1,1,0,3,1,1,88
4,9,2,2,0,2,1,1,80
2,5,1,1,0,4,1,1,40
2,4,1,0,1,2,1,1,83
6,13,4,2,0,3,1,1,80
3,7,2,1,0,2,1,1,71
2,5,1,1,0,4,1,1,40
2,5,1,1,0,2,1,1,85
5,9,1,2,2,4,1,1,73
3,7,2,1,0,2,1,1,82
4,8,1,2,1,3,1,1,82
4,9,3,1,0,2,1,1,87
6,11,4,0,2,2,1,1,71
6,12,3,2,1,2,1,1,73
2,5,0,2,0,3,1,1,93
6,12,2,3,1,3,1,1,75
6,12,1,4,1,4,1,1,88
2,4,0,1,1,2,1,1,89
5,8,1,1,3,2,1,1,93
2,4,0,1,1,2,1,1,99
3,5,0,1,2,3,1,1,40
3,7,1,2,0,3,1,1,79
6,12,1,4,1,3,1,1,72
6,12,2,3,1,2,1,1,79
4,8,1,2,1,2,1,1,87
3,5,1,0,2,2,1,1,96
5,9,2,1,2,4,1,1,82
5,9,0,3,2,2,1,1,98
4,6,1,0,3,2,1,1,96
4,6,0,1,3,4,1,1,40
6,12,1,4,1,3,1,1,92
6,12,2,3,1,2,1,1,77
5,9,1,2,2,4,1,1,95
4,9,2,2,0,3,1,1,96
2,4,1,0,1,3,1,1,40
6,11,4,0,2,4,1,1,84
4,8,2,1,1,3,1,1,81
6,8,1,0,5,2,1,1,97
2,5,2,0,0,2,1,1,93
6,11,3,1,2,2,1,1,97
5,7,1,0,4,3,1,1,40
4,8,2,1,1,2,1,1,70
5,10,2,2,1,3,1,1,92
2,5,2,0,0,3,1,1,86
3,5,0,1,2,3,1,1,40
4,8,3,0,1,2,1,1,90
4,8,1,2,1,3,1,1,74
6,11,2,2,2,3,1,1,91
4,7,1,1,2,4,1,1,40
2,5,0,2,0,3,1,1,78
3,6,2,0,1,4,1,1,40
4,7,0,2,2,2,1,1,90
6,11,1,3,2,4,1,1,83
2,5,1,1,0,4,1,1,40
4,9,2,2,0,3,1,1,94
5,8,1,1,3,4,1,1,40
4,8,2,1,1,3,1,1,76
6,10,2,1,3,3,1,1,93
6,12,3,2,1,4,1,1,84
3,7,0,3,0,2,1,1,92
4,8,1,2,1,4,1,1,78
2,4,1,0,1,4,1,1,40
3,7,0,3,0,2,1,1,94
3,4,0,0,3,2,1,1,40
3,7,1,2,0,2,1,1,100
6,11,4,0,2,2,1,1,76
3,6,1,1,1,2,1,1,100
6,11,3,1,2,4,1,1,97
6,11,2,2,2,4,1,1,89
3,7,0,3,0,4,1,1,80
5,10,1,3,1,4,1,1,79
2,4,1,0,1,2,1,1,92
6,12,2,3,1,4,1,1,97
3,6,2,0,1,2,1,1,70
4,7,2,0,2,3,1,1,99
4,7,1,1,2,4,1,1,40
5,9,1,2,2,4,1,1,80
6,11,3,1,2,3,1,1,74
5,9,1,2,2,3,1,1,80
5,11,2,3,0,2,1,1,94
6,12,3,2,1,4,1,1,84
4,8,2,1,1,2,1,1,91
6,10,1,2,3,2,1,1,82
4,8,2,1,1,4,1,1,91
2,5,1,1,0,4,1,1,40
5,11,3,2,0,2,1,1,71
2,4,1,0,1,3,1,1,40
5,8,1,1,3,2,1,1,79
3,6,1,1,1,3,1,1,86
4,6,0,1,3,4,1,1,40
6,11,3,1,2,2,1,1,90
5,9,1,2,2,3,1,1,87
3,6,1,1,1,3,1,1,98
3,6,0,2,1,4,1,1,40
2,5,2,0,0,4,1,1,40
5,9,3,0,2,4,1,1,72
4,8,1,2,1,2,1,1,79
6,11,2,2,2,2,1,1,71
5,10,3,1,1,2,1,1,94
2,5,1,1,0,4,1,1,40
2,5,1,1,0,3,1,1,94
6,11,1,3,2,3,1,1,91
4,9,1,3,0,4,1,1,92
2,5,1,1,0,4,1,1,40
3,5,1,0,2,3,1,1,40
6,11,2,2,2,4,1,1,91
4,7,1,1,2,3,1,1,76
4,8,1,2,1,4,1,1,83
6,11,2,2,2,4,1,1,91
4,6,0,1,3,4,1,1,40
5,10,1,3,1,4,1,1,95
4,6,0,1,3,2,1,1,94
4,8,2,1,1,2,1,1,91
2,5,1,1,0,3,1,1,82
2,5,2,0,0,3,1,1,86
4,9,0,4,0,4,1,1,86
3,4,0,0,3,3,1,1,40
6,9,1,1,4,4,1,1,40
5,9,1,2,2,2,1,1,86
3,6,2,0,1,3,1,1,86
2,4,1,0,1,3,1,1,40
3,6,0,2,1,3,1,1,76
2,3,0,0,2,3,1,1,40
6,11,3,1,2,3,1,1,91
3,6,2,0,1,4,1,1,40
4,7,0,2,2,2,1,1,96
6,10,1,2,3,4,1,1,70
2,5,1,1,0,3,1,1,82
3,6,1,1,1,2,1,1,71
2,4,1,0,1,4,1,1,40
5,10,2,2,1,4,1,1,83
5,9,1,2,2,3,1,1,75
5,9,2,1,2,4,1,1,94
6,8,1,0,5,4,1,1,40
5,9,2,1,2,3,1,1,92
6,12,3,2,1,4,1,1,100
5,10,0,4,1,2,1,1,82
3,6,0,2,1,3,1,1,73
3,7,1,2,0,3,1,1,85
